User_name,Datetime,Content,Links,Tweet_ID
rancherman61,2020-12-29T23:59:40.000Z,"ol'  tom cruise  gettin' a little rough with his film crew. ""Follow  social distancing, or you are fired"". Nobody seemed to  blink.   Seemed  like a put up deal.",,1344070613493805056
sarahklearman,2020-12-29T23:59:40.000Z,"In April, I wrote about making rent - the only thing I could think of as we came up on the first '1st of the month' after lockdowns began  napavalleyregister.com/news/local/ami …",https://t.co/LUlw4mewMa,1344070613363798024
DiamondGirlKay,2020-12-29T23:59:40.000Z,I get my Covid vaccine tomorrow. In all honesty I’m ready to get it done & over with!! #Moderna,https://x.com/hashtag/Moderna?src=hashtag_click,1344070612449435648
wac1141,2020-12-29T23:59:40.000Z,How many other PMs faced a worldwide pandemic killing millions and Robert Borden doesn’t count,,1344070611912560641
B_Dogs4,2020-12-29T23:59:40.000Z,Maybe someday we could have something like this where 94% of 1050 teens got COVID:,,1344070611488927744
iojgedcvjutf,2020-12-29T23:59:40.000Z,"Classic cherry pick BBC. There are 50k new cases today in the UK, why dont you give pressure for a new national lockdown and close the fking schools?",,1344070611442798592
HHH_Report,2020-12-29T23:59:40.000Z,"Yep, it's just anti-maskers and carefree idiots who are driving the COVID surge. Sure. There are no deeper, harder-to-solve factors.",,1344070611438604298
F1uffyHighland,2020-12-29T23:59:39.000Z,how u gonna be worried about the vaccine but still use your phone?? fuck 5G,,1344070611207860225
grandma2aiden,2020-12-29T23:59:39.000Z,Colorado identifies first known case of UK coronavirus variant in US cnn.com/2020/12/29/hea …,https://t.co/dKm00gZyAF,1344070610545221638
smileyymiaaa,2020-12-29T23:59:39.000Z,I’m so mad my mama claimed me on her taxes  during this pandemic  cause damn bruhh,,1344070609769295872
oilersfan1001,2020-12-29T23:59:39.000Z,"So what's wrong with field hospitals, just incase we need it.  That's what good management is all about.  Too bad #kenney and staff were not ready for vaccine roll out.",https://x.com/hashtag/kenney?src=hashtag_click,1344070608770895872
